,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
1795,1,3,2000,60,0.7255859375,"(0.7004361839895725, 0.5812108747781759, 0.7122024541662577, 0.7004361839895725)",0.3-0.7
1796,1,3,2000,70,0.7318359375,"(0.7004362891617288, 0.5797287472368633, 0.7129307113475973, 0.7004362891617288)",0.3-0.7
1797,1,3,2000,80,0.731640625,"(0.7021943469264841, 0.5835049522003475, 0.7151122579750656, 0.7021943469264841)",0.3-0.7
1798,1,3,2000,90,0.73515625,"(0.7028643636769027, 0.5840479906398658, 0.7157562886447296, 0.7028643636769027)",0.3-0.7
1799,1,3,2000,100,0.7369140625,"(0.7047901009161898, 0.5851901918014633, 0.7178107990320636, 0.7047901009161898)",0.3-0.7
1800,1,40,50,10,0.96875,"(0.9584725987969709, 0.8893604130978936, 0.9588374164748604, 0.9584725987969709)",0.3-0.7
1801,1,40,50,20,0.9791015625,"(0.9704451166113811, 0.8992752224794233, 0.970585377361806, 0.9704451166113811)",0.3-0.7
1802,1,40,50,30,0.9802734375,"(0.9753845970469062, 0.9040130891338871, 0.9754128448974955, 0.9753845970469062)",0.3-0.7
1803,1,40,50,40,0.98125,"(0.9779801757496847, 0.9071316450270688, 0.977987675791611, 0.9779801757496847)",0.3-0.7
1804,1,40,50,50,0.98125,"(0.9791525297759904, 0.908465787763604, 0.9791324056467845, 0.9791525297759904)",0.3-0.7
1805,1,40,50,60,0.9822265625,"(0.9794874680364287, 0.9095641032120492, 0.9794443690346858, 0.9794874680364287)",0.3-0.7
1806,1,40,50,70,0.983203125,"(0.9790687426248026, 0.9089126796014136, 0.9790596219079897, 0.9790687426248026)",0.3-0.7
1807,1,40,50,80,0.9837890625,"(0.9790687075674172, 0.9080300801709378, 0.9790423834586258, 0.9790687075674172)",0.3-0.7
1808,1,40,50,90,0.98359375,"(0.9794872226347309, 0.8869751903647488, 0.979365468935961, 0.9794872226347309)",0.3-0.7
1809,1,40,50,100,0.984375,"(0.979738408801367, 0.9096420680004916, 0.9797043286869112, 0.979738408801367)",0.3-0.7
1810,1,40,100,10,0.96875,"(0.9584725987969709, 0.8893604130978936, 0.9588374164748604, 0.9584725987969709)",0.3-0.7
1811,1,40,100,20,0.9791015625,"(0.9704451166113811, 0.8992752224794233, 0.970585377361806, 0.9704451166113811)",0.3-0.7
1812,1,40,100,30,0.9802734375,"(0.9753845970469062, 0.9040130891338871, 0.9754128448974955, 0.9753845970469062)",0.3-0.7
1813,1,40,100,40,0.98125,"(0.9779801757496847, 0.9071316450270688, 0.977987675791611, 0.9779801757496847)",0.3-0.7
1814,1,40,100,50,0.98125,"(0.9791525297759904, 0.908465787763604, 0.9791324056467845, 0.9791525297759904)",0.3-0.7
1815,1,40,100,60,0.9822265625,"(0.9794874680364287, 0.9095641032120492, 0.9794443690346858, 0.9794874680364287)",0.3-0.7
1816,1,40,100,70,0.983203125,"(0.9790687426248026, 0.9089126796014136, 0.9790596219079897, 0.9790687426248026)",0.3-0.7
1817,1,40,100,80,0.9837890625,"(0.9790687075674172, 0.9080300801709378, 0.9790423834586258, 0.9790687075674172)",0.3-0.7
1818,1,40,100,90,0.98359375,"(0.9794872226347309, 0.8869751903647488, 0.979365468935961, 0.9794872226347309)",0.3-0.7
1819,1,40,100,100,0.984375,"(0.979738408801367, 0.9096420680004916, 0.9797043286869112, 0.979738408801367)",0.3-0.7
1820,1,40,10,10,0.86796875,"(0.850050552749796, 0.7751204431547949, 0.8662528784007844, 0.850050552749796)",0.3-0.7
1821,1,40,10,20,0.87109375,"(0.8607671747884111, 0.7638635512699816, 0.8772329285725512, 0.8607671747884111)",0.3-0.7
1822,1,40,10,30,0.8853515625,"(0.8704791573326378, 0.7754844468107478, 0.8842263470882477, 0.8704791573326378)",0.3-0.7
1823,1,40,10,40,0.884765625,"(0.8714003602496927, 0.7766064395841606, 0.885270976583676, 0.8714003602496927)",0.3-0.7
1824,1,40,10,50,0.8849609375,"(0.8733256417429691, 0.7780588058637449, 0.8873021557063755, 0.8733256417429691)",0.3-0.7
1825,1,40,10,60,0.8841796875,"(0.8747490417063692, 0.7814467260009149, 0.8883612548170781, 0.8747490417063692)",0.3-0.7
1826,1,40,10,70,0.8875,"(0.8765068190120407, 0.8045451310048088, 0.8899000076147716, 0.8765068190120407)",0.3-0.7
1827,1,40,10,80,0.8880859375,"(0.8776792782105028, 0.7840496739649193, 0.8906960105278076, 0.8776792782105028)",0.3-0.7
